row ID,row m/z,row retention time,42065
1,92.53999939,5.3103,0.1477890055995522
2,92.53999939,5.4877,0.02660872336476602
3,92.54444377,6.518777778,-0.21068919034759398
4,92.53999939,6.618,-0.09980778742540368
5,92.53999939,6.9907,0.21628869063512254
6,92.53999939,7.4181,0.13147790202480175
7,120.4800003,7.8098,-0.593715331181457
8,118.4200012,8.0641,-0.015455449816921358
9,92.53999939,8.2071,-0.24090366128280985
10,80.51999969,8.2922,0.12207120398382328
11,92.54999924,9.205,-0.24199691779899626
12,92.53999939,9.2563,-0.33910809477145204
13,92.53999939,10.3324,-0.116709156248604
14,92.52499962,10.771625,0.1872104023506616
15,92.57999878,11.6038,0.19911441515599795
16,92.59999847,12.323,-0.18036559136956345
17,70.66666412,13.84816667,0.5369186874965919
18,70.63999786,13.8696,0.30412226857262964
19,92.53999939,14.3595,0.7766796038124648
20,118.4222234,22.02422222,0.041278036157609437
21,104.5,22.13022222,-0.3808598761578751
22,104.5,23.4041,-0.31942167199922195
23,92.53999939,23.7887,0.33224800170421975
24,90.53999939,24.5778,0.2970896393520818
25,107.5,24.75666667,0.4839192604483497
26,160.3555535,25.05211111,0.4841785781371432
27,92.54444377,25.16022222,0.23909287127798032
28,90.53999939,25.4513,-0.33378293524423774
29,160.3499985,25.993,0.12346024150708378
30,104.5,26.563,-0.25140443417931874
31,160.3499985,26.7024,0.3182842429143585
32,106.5,26.8535,-0.5172604802546428
33,104.5,27.06877778,0.13334366172829165
34,160.3499985,27.9752,-0.09229850216924097
35,160.3250008,28.043,-0.21422876640685787
36,118.4222234,28.30166667,-0.23963372818762751
37,108.4000015,29.338125,-0.3987909237061248
38,106.5,30.2685,-0.5304336450649554
39,108.4000015,30.56185714,-0.5286111065648036
40,106.5,30.6587,0.17210537658731465
41,148.3333333,30.97544444,0.4831819252589663
42,148.3300003,31.7467,-0.4124556973014281
43,118.4222234,31.94544444,-0.6160615551049327
44,160.3555535,32.47355556,-0.16427784871831572
