row ID,row m/z,row retention time,index,corr_BioAct
1,887.569821689759,7.852616628011333,0,-0.19214447975120166
2,887.5709432611816,7.705058097839499,1,-0.19391534416507808
3,887.5699332843221,7.9856065750122,2,0.27657006139351964
4,702.2155576893001,7.590004784720285,3,-0.12473349581628526
5,628.1972623312487,7.118627786636334,4,-0.08452057076205256
6,633.1534002967087,7.11705422401425,5,-0.16522174657875377
7,851.2668072356867,0.2187083289025,6,-0.18919794578890559
8,707.1722963653039,7.590004784720285,7,-0.1182918084707322
9,649.1267771546144,7.1175200462342,8,-0.22205846536253793
10,371.1027322760104,6.51597917079925,9,-0.18392374378377133
11,559.1334106934218,6.51597917079925,10,-0.1791523616521781
12,723.1455973210658,7.592038949330667,11,-0.0648502303736294
13,273.1685839549637,1.5085999965665,12,-0.1755968504076443
14,612.265331720397,7.010902404785,13,0.12344817011896553
15,575.1073188073389,6.51597917079925,14,-0.18967775595190403
16,371.1029715527529,7.11705422401425,15,-0.16797410831074575
17,172.11734774836918,7.013063690879,16,0.3306033984792837
18,522.5974419348429,7.701703357696601,17,0.22339370998262548
19,776.2335906658387,8.021408081055,18,-0.12492755225550507
20,522.5978324714466,7.7254698753358,19,-0.15368321786942074
21,331.210341413544,1.9320777654646664,20,-0.2152550400219098
22,125.98810284637808,8.867137908935455,21,0.3051697268573624
23,338.34300992542165,7.3674571854725714,22,-0.1928903141550263
24,494.5667193816375,7.328383445739832,23,0.15690212045907106
25,355.0715964155453,7.115158319473,24,-0.1483598314805699
26,355.0717233040969,6.518041610718,25,-0.17557987045259926
27,139.99003613816066,8.819731791814165,26,0.013480169477516436
28,141.96052074944257,9.278658390045166,27,0.031051129696683534
29,141.96054921901714,9.315919717152834,28,0.20340316675838377
30,397.32976733066295,6.97760971387225,29,-0.2163792603889678
31,471.10655542126,7.010525067647,30,0.21105246419652754
32,217.1062895631272,0.332808330655,31,-0.21831078233870277
33,909.5534232482122,7.678549766541,32,-0.19738550848793068
34,433.1838698902742,4.641510057449301,33,0.06593555068853298
35,141.96087043939409,8.975812131708182,34,-0.1723705290855947
36,433.1839131573686,4.656228845769636,35,-0.05060722394722246
37,425.28839931074737,6.2269433975218,36,0.17483152430735338
38,909.5515325643936,7.703016757965,37,-0.19738550848793068
39,125.9883165756444,8.8960832595824,38,-0.3938921690065902
40,924.2727876149984,7.449711163838667,39,-0.22515278156956364
41,284.33272112189053,4.672518094380751,40,0.12475744945987605
42,554.1773109996203,6.511316776276,41,-0.19738550848793057
43,261.1324050214697,0.4027000069615,42,-0.1755394007994304
44,411.3450061017409,7.297883351644,43,-0.25376717686472916
45,455.37064385483126,7.2345069249471665,44,-0.2585791841032596
46,924.2731202307884,7.463211059570334,45,-0.16299019610350637
47,925.5281314979544,8.792374928792334,46,-0.2583096850730298
48,383.3141970215907,6.620826363563666,47,0.014997785766458376
49,501.08753078386303,5.811716556549,48,-0.19738550848793068
50,141.96194031483662,8.945491552353001,49,-0.1829390507671191
51,419.1683230541897,4.272108316421701,50,0.3042248413841898
52,447.199424082243,5.044005552927666,51,0.16379204963953975
53,473.1044388048868,7.007325013478333,52,0.2658914962547824
54,415.1891627713092,6.74595844745625,53,0.3024024982975271
55,389.25172630199006,2.312256717682,54,-0.3220231621445449
56,469.3869105373016,7.543304616754728,55,-0.06288072130325366
57,485.1133314818418,5.811716556549,56,-0.19738550848793057
58,409.184804983404,7.009505589802832,57,-0.02954677316075842
59,304.30129902985817,4.1616066932678,58,0.33919957995215116
60,917.580558100014,8.356283187866,59,-0.19738550848793066
61,141.98540702655447,8.805249849954999,60,0.2696811720616816
62,925.528424554642,7.678549766541,61,-0.19738550848793066
63,879.2851930026163,7.015299956003666,62,0.26057291261195753
64,447.19933324928905,5.12171244621275,63,-0.3999730382229657
65,471.1058395918978,7.615422169367332,64,-0.14756337251007767
66,668.199499561665,7.940572261810499,65,-0.15662888570774086
67,464.1113985718278,7.9445611635845,66,-0.28287587011063564
68,670.199518601265,7.263344446818167,67,-0.08128857900878016
69,471.32687189187726,7.612230539321833,68,-0.2555451788532869
70,466.1115682967376,7.263344446818167,69,-0.16414629693635582
71,887.5703857597983,7.056116739908667,70,-0.10845213808439785
72,887.5706865454911,7.361070752143751,71,0.06292736618514316
73,429.3195112639096,5.397255473666556,72,0.03128100150721296
74,851.295450588461,0.232033327222,73,-0.19738550848793066
75,468.10804399141153,7.263344446818167,74,-0.1987297350231886
76,473.3246945767589,7.610377788543666,75,-0.3742181642304219
77,917.5803075542308,8.073008537292,76,-0.22259576977738912
78,130.16108471839706,8.756327629089332,77,0.1674527944819071
79,130.16103705814692,8.788905779521,78,-0.23451871533125102
80,728.5886669048093,7.395833492279,79,-0.19738550848793066
81,821.5965424248487,7.3399167060855,80,-0.21341119473649342
82,816.6410106350311,7.3399167060855,81,-0.21572947415252386
83,733.5447037527359,7.3948333263395,82,-0.29276927094871813
84,308.04550007790806,7.606066703795999,83,-0.28131148727392
85,610.1852206534405,7.932588895161834,84,-0.03745362691363086
86,513.4128296477049,7.523043751716375,85,-0.14629561612142516
87,411.345430687927,7.305152416229142,86,0.20984640644642152
88,441.3556711028348,6.911839398470818,87,-0.009685510038874297
89,917.5799251403396,8.1000580787655,88,-0.18126391404225964
90,557.4398088317215,7.499200105667,89,-0.13453861727160782
91,130.16100928480984,7.130912423133751,90,-0.08853272423756182
92,924.2724003272948,7.157083511353,91,-0.19738550848793066
93,130.16088912712505,7.414100170135666,92,-0.31500196630738003
94,130.16101342586677,7.707516670227251,93,-0.3928594177973414
95,130.16093660671334,7.5616166591645,94,0.2226269102913083
96,130.16100490959957,6.967896747589,95,-0.18634684011775587
97,645.4922021277592,7.450616677602333,96,-0.37526834385058633
98,537.3956053902098,7.895283222198,97,-0.19738550848793066
99,640.5370602164924,7.450841665267999,98,-0.292690917870303
100,425.3606824652842,7.5889100074768,99,0.04193404704741069
101,561.3985292824947,5.337638854980334,100,0.032625654472400886
102,130.1609419930132,7.8584084510805,101,-0.2920307023944297
103,130.1609626731944,6.766653251648,102,-0.1117946013690651
104,443.3350025183128,5.671605428059834,103,-0.15747425165354104
105,901.585704317291,8.723266601563,104,-0.19738550848793066
106,749.5198231158915,7.3948333263395,105,-0.281238084794283
107,399.3087746385097,5.82043325901025,106,-0.09183446508139817
108,399.3086254948549,5.701466560363751,107,0.07098284408082776
109,929.2331708311682,7.157083511353,108,-0.19738550848793077
110,443.3353228604232,5.79228746891025,109,-0.34575725054461065
111,447.34527015328223,7.263572216033999,110,-0.37088894485603985
112,945.2024960691432,7.157083511353,111,-0.19738550848793074
113,487.3611143930205,5.763850212097,112,-0.19738550848793066
114,310.04347893006866,7.61084985733,113,-0.19738550848793068
115,182.986614570177,9.016324996948,114,-0.37809210792023795
116,487.3613783417924,5.6578333377835,115,-0.21134055822969924
117,128.9529623218868,9.009416770935,116,0.00983390539452921
118,355.28264498791344,5.838633298874,117,-0.20804533619624427
119,261.132787777986,8.741749763489,118,-0.19738550848793066
120,533.2805988776291,5.7997900009158,119,-0.0033602069727655948
121,623.2881337064781,6.873122215271167,120,0.3576671883848104
122,675.358062927907,4.03725838661175,121,0.11677426683933802
123,513.3044360812494,4.49479794502275,122,0.2629135208087241
124,471.10613527141817,7.64631259441375,123,0.1607335766861239
125,515.3205745258684,4.946204730442572,124,0.6023898795484501
126,539.319840127582,4.708226203918429,125,0.3969889885509214
127,935.5736755955728,7.3542200088502,126,-0.08502953158788022
128,541.336199364202,5.109127759933333,127,0.3203532539172873
129,385.2932437650397,5.417645250048,128,-0.20766811240389904
130,645.2705120722337,6.867655595143667,129,0.038358165735159655
131,529.2782730696429,4.490800023079,130,0.2156712923174937
132,887.5700486224343,8.737666606903,131,-0.23887654926885543
133,533.5188026810648,5.78257783254,132,-0.06119135520873637
134,937.5889477773708,7.695613781611333,133,0.24747439412077668
135,473.34565723381615,5.380750020344999,134,0.18186937975976403
136,230.2494137055025,3.5057917237282497,135,0.023441542761993475
137,951.5485274477325,7.353103351593001,136,-0.1852245444571283
138,346.1636701524485,4.033488909403333,137,0.3483130980029844
139,555.2946800596363,4.712283372879,138,0.4495555421100171
