row ID,row m/z,row retention time,index,42108
1,92.53999939,5.3103,42064,-0.5648941221021747
2,92.53999939,5.4877,42065,0.28162857591281165
3,92.54444377,6.518777778,42066,0.3243462704579931
4,92.53999939,6.618,42067,0.18625909531879972
5,92.53999939,6.9907,42068,0.36569625874662093
6,92.53999939,7.4181,42069,-0.1137975146651469
7,120.4800003,7.8098,42070,-0.514001515451902
8,118.4200012,8.0641,42071,0.45585161514075795
9,92.53999939,8.2071,42072,0.13211497142629985
10,80.51999969,8.2922,42073,0.16464591745958115
11,92.54999924,9.205,42074,-0.346302364489039
12,92.53999939,9.2563,42075,0.007258764106405491
13,92.53999939,10.3324,42076,0.4598014920587024
14,92.52499962,10.771625,42077,-0.13327388784861863
15,92.57999878,11.6038,42078,-0.6253520199395656
16,92.59999847,12.323,42079,0.018617957670986122
17,70.66666412,13.84816667,42080,0.07677242826564297
18,70.63999786,13.8696,42081,0.0059382022601000796
19,92.53999939,14.3595,42082,0.4586028539373762
20,118.4222234,22.02422222,42083,0.37131343172550596
21,104.5,22.13022222,42084,0.9311568088484293
22,104.5,23.4041,42085,0.9168961429395761
23,92.53999939,23.7887,42086,0.9660911914532783
24,90.53999939,24.5778,42087,0.9267124019985845
25,107.5,24.75666667,42088,0.9564136809432651
26,160.3555535,25.05211111,42089,0.9417428941006587
27,92.54444377,25.16022222,42090,0.8707603550453028
28,90.53999939,25.4513,42091,0.9334655107776672
29,160.3499985,25.993,42092,0.9066337953250004
30,104.5,26.563,42093,0.9147698480158304
31,160.3499985,26.7024,42094,0.5458151250652752
32,106.5,26.8535,42095,0.8982431539849914
33,104.5,27.06877778,42096,0.7023669163296269
34,160.3499985,27.9752,42097,0.9697913274388332
35,160.3250008,28.043,42098,0.9451398775106286
36,118.4222234,28.30166667,42099,-0.20608271910678752
37,108.4000015,29.338125,42100,0.9832613655679773
38,106.5,30.2685,42101,0.8749795381849459
39,108.4000015,30.56185714,42102,0.9731685574055463
40,106.5,30.6587,42103,0.836724844116726
41,148.3333333,30.97544444,42104,0.954505363510057
42,148.3300003,31.7467,42105,0.9924801380080973
43,118.4222234,31.94544444,42106,0.9201952752719451
44,160.3555535,32.47355556,42107,0.986575057660262
